LocationA,LocationB,Distance,Tags,StartLat,StartLon,EndLat,EndLon
france_sampledata 5.jpg,france_sampledata 4.jpg,3.250000000543096E-4,good hospital bad france ,46.4925083333333,-1.77652777777778,46.4927638888889,-1.77645833333333
france_sampledata 5.jpg,france_sampledata 5.jpg,0.0,good hospital bad france ,46.4925083333333,-1.77652777777778,46.4925083333333,-1.77652777777778
france_sampledata 5.jpg,france_sampledata 4.jpg,3.250000000543096E-4,good hospital bad france ,46.4925083333333,-1.77652777777778,46.4927638888889,-1.77645833333333
france_sampledata 7.jpg,france_sampledata 8.jpg,0.0,france ,46.4943305555556,-1.79171666666667,46.4943305555556,-1.79171666666667
france_sampledata 7.jpg,france_sampledata 7.jpg,0.0,france ,46.4943305555556,-1.79171666666667,46.4943305555556,-1.79171666666667
france_sampledata 7.jpg,france_sampledata 10.jpg,0.004988888888892484,france ,46.4943305555556,-1.79171666666667,46.4963305555556,-1.79470555555556
france_sampledata 8.jpg,france_sampledata 7.jpg,0.0,france ,46.4943305555556,-1.79171666666667,46.4943305555556,-1.79171666666667
france_sampledata 8.jpg,france_sampledata 7.jpg,0.0,france ,46.4943305555556,-1.79171666666667,46.4943305555556,-1.79171666666667
france_sampledata 8.jpg,france_sampledata 10.jpg,0.004988888888892484,france ,46.4943305555556,-1.79171666666667,46.4963305555556,-1.79470555555556
france_sampledata 4.jpg,france_sampledata 5.jpg,3.250000000543096E-4,france ,46.4927638888889,-1.77645833333333,46.4925083333333,-1.77652777777778
france_sampledata 4.jpg,france_sampledata 5.jpg,3.250000000543096E-4,france ,46.4927638888889,-1.77645833333333,46.4925083333333,-1.77652777777778
france_sampledata 4.jpg,france_sampledata 4.jpg,0.0,france ,46.4927638888889,-1.77645833333333,46.4927638888889,-1.77645833333333
france_sampledata 5.jpg,france_sampledata 5.jpg,0.0,france ,46.4925083333333,-1.77652777777778,46.4925083333333,-1.77652777777778
france_sampledata 5.jpg,france_sampledata 4.jpg,3.250000000543096E-4,france ,46.4925083333333,-1.77652777777778,46.4927638888889,-1.77645833333333
france_sampledata 5.jpg,france_sampledata 4.jpg,3.250000000543096E-4,france ,46.4925083333333,-1.77652777777778,46.4927638888889,-1.77645833333333
france_sampledata 7.jpg,france_sampledata 7.jpg,0.0,france ,46.4943305555556,-1.79171666666667,46.4943305555556,-1.79171666666667
france_sampledata 7.jpg,france_sampledata 8.jpg,0.0,france ,46.4943305555556,-1.79171666666667,46.4943305555556,-1.79171666666667
france_sampledata 7.jpg,france_sampledata 10.jpg,0.004988888888892484,france ,46.4943305555556,-1.79171666666667,46.4963305555556,-1.79470555555556
france_sampledata 10.jpg,france_sampledata 7.jpg,0.004988888888892484,france ,46.4963305555556,-1.79470555555556,46.4943305555556,-1.79171666666667
france_sampledata 10.jpg,france_sampledata 8.jpg,0.004988888888892484,france ,46.4963305555556,-1.79470555555556,46.4943305555556,-1.79171666666667
france_sampledata 10.jpg,france_sampledata 7.jpg,0.004988888888892484,france ,46.4963305555556,-1.79470555555556,46.4943305555556,-1.79171666666667
france_sampledata 4.jpg,france_sampledata 5.jpg,3.250000000543096E-4,good hospital bad france ,46.4927638888889,-1.77645833333333,46.4925083333333,-1.77652777777778
france_sampledata 4.jpg,france_sampledata 4.jpg,0.0,good hospital bad france ,46.4927638888889,-1.77645833333333,46.4927638888889,-1.77645833333333
france_sampledata 4.jpg,france_sampledata 5.jpg,3.250000000543096E-4,good hospital bad france ,46.4927638888889,-1.77645833333333,46.4925083333333,-1.77652777777778
